#metadataBlock	name	dataverseAlias	displayName	blockURI
	diet_assessment		diet_assessment	
#datasetField	name	title	description	watermark	fieldType	displayOrder	displayFormat	advancedSearchField	allowControlledVocabulary	allowmultiples	facetable	displayoncreate	required	parent	metadatablock_id	termURI
	diet_assessment	Diet assessment	Group of items providing information on diet assessment.		none	0		FALSE	FALSE	TRUE	FALSE	TRUE	FALSE		diet_assessment
	diet_assessment_instrument	Dietary assessment instrument used	Which dietary assessment instrument is used in the study/data collection event? Select one value from the list.		text	1		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	diet_assessment	diet_assessment	
	ffq_items_number	Number of items in FFQ	How many items were inquired with the FFQ?		int	2		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	diet_assessment	diet_assessment	
	diet_assessment_mode	Mode used to apply the dietary assessment instrument to study participants	How was the dietary assessment instrument applied to the study participants? Select all that apply.		text	3		TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	diet_assessment	diet_assessment	
	diet_assessment_device	Device used to apply the dietary assessment instrument to study participants	Which device was used to apply the dietary assessment instrument to the study participants? Select all that apply.		text	4		TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	diet_assessment	diet_assessment	
	portion_size_estimation	Portion size estimated by:	How is the portion size inquired in the dietary assessment instrument? Select all that apply.		text	5		TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	diet_assessment	diet_assessment	
	reference_period_unit	Reference period unit	Which reference period is the dietary assessment instrument referring to, e.g. 24-h recall is referring to the previous day. Select one value from the list.		text	6		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	diet_assessment	diet_assessment	
	reference_period_number	Numerical value of reference period units	How many of the reference period units were assessed?		int	7		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	diet_assessment	diet_assessment	
	diet_assessment_repeat	Was this instrument applied repeatedly?	Was the same instrument applied repeatedly?		text	8		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	diet_assessment	diet_assessment	
	diet_assessment_repeat_frequency	Frequency of applying the dietary assessment instrument	How often was the dietary assessment instrument repeatedly applied?		int	9		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	diet_assessment	diet_assessment	
	diet_assessment_validity	Was this instrument validated?	Was the dietary assessment instrument validated?		text	10		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	diet_assessment	diet_assessment	
	diet_assessment_validity_reference	Please provide a reference describing the validation.	Reference describing the validation.		text	11		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	diet_assessment	diet_assessment	
	diet_assessment_reliability	Instrument described according to reliablity?	Was the dietary assessment instrument described according to its reliability?		text	12		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	diet_assessment	diet_assessment	
	diet_assessment_reliability_reference	Please provide a reference describing the reliability measures.	Reference describing the reliability measures.		text	13		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	diet_assessment	diet_assessment	
	dietary_supplements	Dietary supplements inquired?	Does the dietary assessment instrument inquire information about dietary supplements?		text	14		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	diet_assessment	diet_assessment	
#controlledVocabulary	DatasetField	Value	identifier	displayOrder
	diet_assessment_instrument	Food frequency questionnaire (FFQ)	DAI_0	0
	diet_assessment_instrument	Diet history	DAI_1	1
	diet_assessment_instrument	24-h dietary recall	DAI_2	2
	diet_assessment_instrument	Food record	DAI_3	3
	diet_assessment_instrument	Screener	DAI_4	4
	diet_assessment_instrument	Other	DAI_5	5
	diet_assessment_mode	Face-to-face interview	DAM_0	0
	diet_assessment_mode	Other	DAM_1	1
	diet_assessment_mode	Proxy-administered	DAM_2	2
	diet_assessment_mode	Self-administered	DAM_3	3
	diet_assessment_mode	Telephone interview	DAM_4	4
	diet_assessment_device	App-based	DAD_0	0
	diet_assessment_device	Online questionnaire	DAD_1	1
	diet_assessment_device	Other	DAD_2	2
	diet_assessment_device	Paper-based	DAD_3	3
	portion_size_estimation	Described portion sizes	PSE_0	0
	portion_size_estimation	None	PSE_1	1
	portion_size_estimation	Picture book/visual aids	PSE_2	2
	portion_size_estimation	Volume measures	PSE_3	3
	portion_size_estimation	Weighing	PSE_4	4
	reference_period_unit	Days	RPU_0	0
	reference_period_unit	Weeks	RPU_1	1
	reference_period_unit	Months	RPU_2	2
	reference_period_unit	Years	RPU_3	3
	diet_assessment_repeat	Yes	DAR_0	0
	diet_assessment_repeat	No	DAR_1	1
	diet_assessment_validity	Yes	DAV_0	0
	diet_assessment_validity	No	DAV_1	1
	diet_assessment_reliability	Yes	DAR_1_0	0
	diet_assessment_reliability	No	DAR_1_1	1
	dietary_supplements	Yes	DS_0	0
	dietary_supplements	No	DS_1	1
