#metadataBlock	name	dataverseAlias	displayName	blockURI
	MDS_V3_1		MDS_V3_1	
#datasetField	name	title	description	watermark	fieldType	displayOrder	displayFormat	advancedSearchField	allowControlledVocabulary	allowmultiples	facetable	displayoncreate	required	parent	metadatablock_id	termURI
	Resource.collection				text	0		TRUE	FALSE	TRUE	FALSE	TRUE	FALSE		MDS_V3_1	
	Resource.identifier	ID of the [RESOURCE]	Unique identifier of the resource used for identification within the NFDI4Health.		text	0		TRUE	FALSE	FALSE	FALSE	FALSE	FALSE		MDS_V3_1
	Resource.classification	Classification of the resource within the predefined categories	Group of items providing Information about classification of the resource within the predefined categories.		none	1		FALSE	FALSE	FALSE	FALSE	FALSE	TRUE		MDS_V3_1	
	Resource.classification.type	Type of the resource	A term describing the resource. You can register a study, a study protocol, a questionnaire, etc.		text	2		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	Resource.classification	MDS_V3_1	
	Resource.classification.typeGeneral	In what form is the [RESOURCE] available?	Specific information about the form in which the [RESOURCE] is available. You can select "Text" for most of the study documents, e.g. for questionnaires, informed consent forms, case report forms, etc.		text	3		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	Resource.classification	MDS_V3_1	
	Resource.titles	Title(s)/name(s) of the [RESOURCE]	Group of items providing Information about title(s)/name(s) of the [RESOURCE].		none	4		FALSE	FALSE	TRUE	FALSE	TRUE	FALSE		MDS_V3_1	
	Resource.titles.text	Title/name	Scientific unabbreviated title or name of the [RESOURCE]. Please provide at least one title/name of the [RESOURCE]. If the original title is not in English, please also provide an English translation of the original title.		text	5		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	Resource.titles	MDS_V3_1	
	Resource.titles.language	Language of the title/name	Language of the title/name.		text	6		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	Resource.titles	MDS_V3_1	
	Resource.acronyms	Acronym(s) of the [RESOURCE]	Group of items providing Information about acronym(s) of the [RESOURCE].		none	7		FALSE	FALSE	TRUE	FALSE	TRUE	FALSE		MDS_V3_1	
	Resource.acronyms.text	Acronym	If existing, acronym(s) of the [RESOURCE]. The property refers primarily to studies which often have an acronym. For other types of resources, a short title (preferably up to 5 words) can be provided, e.g. "NAKO-COVID Questionnaire".		text	8		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	Resource.acronyms	MDS_V3_1	
	Resource.acronyms.language	Language of the acronym	Language of the acronym.		text	9		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	Resource.acronyms	MDS_V3_1	
	Resource.descriptionEnglish	English description of the [RESOURCE]	Group of items with an English description of the [RESOURCE].		none	10		FALSE	FALSE	FALSE	FALSE	FALSE	TRUE		MDS_V3_1	
	Resource.descriptionEnglish.text	English description of the [RESOURCE]	A short plain text summary describing the [RESOURCE] in English.		text	11		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	Resource.descriptionEnglish	MDS_V3_1	
	Resource.descriptionEnglish.language	Language of the description	Language of the description text.		text	12		TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	Resource.descriptionEnglish	MDS_V3_1	
	Resource.descriptionsNonEnglish	Non-English description(s) of the [RESOURCE]	Group of items with description(s) of the [RESOURCE] written not in English.		none	13		FALSE	FALSE	TRUE	FALSE	TRUE	FALSE		MDS_V3_1	
	Resource.descriptionsNonEnglish.text	Description	Short plain text summary of the [RESOURCE] other than in English.		text	14		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	Resource.descriptionsNonEnglish	MDS_V3_1	
	Resource.descriptionsNonEnglish.language	Language of the description	Language of the description text.		text	15		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	Resource.descriptionsNonEnglish	MDS_V3_1	
	Resource.keywords	Keyword(s) describing the [RESOURCE]	Group of items providing Information about keywords describing the [RESOURCE].		none	16		FALSE	FALSE	TRUE	FALSE	TRUE	FALSE		MDS_V3_1	
	Resource.keywords.label	Keyword	Keyword(s) describing the [RESOURCE]. Preferably, use terms from SNOMED CT.	SARS-CoV-2	text	17		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	Resource.keywords	MDS_V3_1	
	Resource.keywords.code	Code of the keyword	If known, the code of the keyword in a classification/vocabulary. If found, the code from the classification/vocabulary used.	http://id.nlm.nih.gov/mesh/D000086402	text	18		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	Resource.keywords	MDS_V3_1	
	Resource.languages	Language(s) of the [RESOURCE]	Language(s) in which the [RESOURCE] is conducted/provided. Select all that apply.		text	19		TRUE	TRUE	TRUE	TRUE	TRUE	FALSE		MDS_V3_1	
	Resource.webpage	Web page of the [RESOURCE]	If existing, a link to the web page directly relevant to the [RESOURCE].		text	20		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE		MDS_V3_1	
	Resource.nonStudyDetails	Detailed information about the [RESOURCE]	Group of items applicable only to the resources which are not a study/substudy, a dataset, a registry, or a secondary data source.		none	21		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		MDS_V3_1	
	Resource.nonStudyDetails.version	Version of the [RESOURCE]	If applicable, the version number of the [RESOURCE].		text	22		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	Resource.nonStudyDetails	MDS_V3_1	
	Resource.nonStudyDetails.format	Format of the [RESOURCE]	The file format of the [RESOURCE] (E.g., XML, PDF, XLSX, etc.).	PDF	text	23		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	Resource.nonStudyDetails	MDS_V3_1	
	Resource.nonStudyDetails.useRights	Information about the rights to (re-)use the [RESOURCE]	Group of items providing Information about the rights to (re-)use the [RESOURCE].		none	24		FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	Resource.nonStudyDetails	MDS_V3_1	
	Resource.nonStudyDetails.useRights.label	License	License defining the rights to (re-)use the [RESOURCE]. Select one value from the list. If “Other” is selected, an explanation of the (re-)use terms and conditions has to be provided in the field “Additional information about use rights”.		text	25		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	Resource.nonStudyDetails.useRights	MDS_V3_1	
	Resource.nonStudyDetails.useRights.link	URL of the license	Link to the selected license.		text	26		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	Resource.nonStudyDetails.useRights	MDS_V3_1	
	Resource.nonStudyDetails.useRights.confirmations	Important information about licensing, if a Creative Commons license is selected.	Group of items applicable if a Creative Commons license is selected.		none	27		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Resource.nonStudyDetails.useRights	MDS_V3_1	
	Resource.nonStudyDetails.useRights.confirmations.authority	Do you confirm that the authors have authority to license the [RESOURCE]?	Confirmation that the authors have authority to license the [RESOURCE].		text	28		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	Resource.nonStudyDetails.useRights.confirmations	MDS_V3_1	
	Resource.nonStudyDetails.useRights.confirmations.terms	Do you confirm that the authors have read and understood the terms of the chosen license?	Confirmation that the authors have read and understood the terms of the chosen license.		text	29		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	Resource.nonStudyDetails.useRights.confirmations	MDS_V3_1	
	Resource.nonStudyDetails.useRights.confirmations.irrevocability	Do you confirm that the authors understand that Creative Commons (CC) licensing is irrevocable?	Confirmation that the authors understand that Creative Commons (CC) licensing is not revocable.		text	30		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	Resource.nonStudyDetails.useRights.confirmations	MDS_V3_1	
	Resource.nonStudyDetails.useRights.confirmations.supportByLicensing	Do you confirm that the authors allow NFDI4Health to license the document?	Confirmation that NFDI4Health is allowed to license the document, i.e. to mark the [RESOURCE] with the license information.		text	31		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	Resource.nonStudyDetails.useRights.confirmations	MDS_V3_1	
	Resource.nonStudyDetails.useRights.description	Additional information about use rights	Any additional descriptive information explaining terms and conditions to (re-)use the [RESOURCE].		text	32		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	Resource.nonStudyDetails.useRights	MDS_V3_1	
	Resource.contributors	Contributor(s)	Group of items providing information about person(s), group(s) of persons or institution(s)/organisation(s) contributing to the [RESOURCE].		none	33		FALSE	FALSE	TRUE	FALSE	TRUE	FALSE		MDS_V3_1	
	Resource.contributors.nameType	Is it a personal or organisational contribution?	Personal or organisational/group contribution. Personal or organisational/group contribution.		text	34		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	Resource.contributors	MDS_V3_1	
	Resource.contributors.organisational	Details about the organisation/institution/group/etc.	Group of items providing information about group(s) of persons, institution(s) or organisation(s) contributing to the [RESOURCE]. Organisational name can be used to denote a research group or an institution.		none	35		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Resource.contributors	MDS_V3_1	
	Resource.contributors.organisational.type	Contributor type	Contributor type an organisation, institution or group fulllfils. For example, this can be a sponsor of the study or a group of authors of the document. Which contributor type does the organisation/institution/group/etc. fulllfil? Select one value from the list.		text	36		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	Resource.contributors.organisational	MDS_V3_1	
	Resource.contributors.organisational.fundingIds	Funding identifier(s)	Identifier(s) assigned by a funder to the [RESOURCE]. If available, you can enter funding identifiers.		text	37		TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	Resource.contributors.organisational	MDS_V3_1	
	Resource.contributors.organisational.name	Name of the organisation/institution/group	Name of the organisation, institution or group.		text	38		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	Resource.contributors.organisational	MDS_V3_1	
	Resource.contributors.personal	Details about the person	Group of items providing information about person(s) contributing to the [RESOURCE].		none	39		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Resource.contributors	MDS_V3_1	
	Resource.contributors.personal.type	Contributor type	Contributor type a person fulllfils. For example, this can be a principal investigator of a study or an author of a document. Which contributor type does the person fulllfil? Select one value from the list.		text	40		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	Resource.contributors.personal	MDS_V3_1	
	Resource.contributors.personal.givenName	Given name of the person	Given name of the person.		text	41		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	Resource.contributors.personal	MDS_V3_1	
	Resource.contributors.personal.familyName	Family name(s) of the person	Family name(s) of the person.		text	42		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	Resource.contributors.personal	MDS_V3_1	
	Resource.contributors.personal.identifiers	Digital identifier(s) of the person	Group of items providing information about digital identifiers of the person.		none	43		FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	Resource.contributors.personal	MDS_V3_1	
	Resource.contributors.personal.identifiers.identifier	Identifier	Digital identifier according to a specific scheme that uniquely identifies the person. Preferably, provide an ORCID (https://orcid.org/).	0000-0003-1379-7023	text	44		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	Resource.contributors.personal.identifiers	MDS_V3_1	
	Resource.contributors.personal.identifiers.scheme	Which type of identifer is reported?	Type of the identifier scheme.	ORCID	text	45		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	Resource.contributors.personal.identifiers	MDS_V3_1	
	Resource.contributors.email	Email address	Email address of the person, group of persons or institution/organisation.		text	46		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	Resource.contributors	MDS_V3_1	
	Resource.contributors.phone	Phone number	Phone number of the person, group of persons or institution/organisation. Please, use the International ITU-T E.164-number structure for geographic areas, e.g. +49 (0)153 1112233.	+49 (0)153 1112233	text	47		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	Resource.contributors	MDS_V3_1	
	Resource.contributors.affiliations	Further information about organisation(s) associated with the contributor	Group of items providing further information about the organisation(s) associated with the contributor.		none	48		FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	Resource.contributors	MDS_V3_1	
	Resource.contributors.affiliations.name	Name of the organisation	Name of the organisation associated with the contributor. If you are have already entered the name of the organistion in the field "Name of the organisation/institution/group", please repeat it here.		text	49		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	Resource.contributors.affiliations	MDS_V3_1	
	Resource.contributors.affiliations.address	Address of the organisation	Address of the organisation associated with the contributor.		text	50		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	Resource.contributors.affiliations	MDS_V3_1	
	Resource.contributors.affiliations.webpage	Web page of the organisation	Web page of the organisation associated with the contributor.		text	51		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	Resource.contributors.affiliations	MDS_V3_1	
	Resource.contributors.affiliations.identifiers	Digital identifier(s) of the organisation	Group of items providing information about identifiers of the organisation.		none	52		FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	Resource.contributors.affiliations	MDS_V3_1	
	Resource.contributors.affiliations.identifiers.identifier	Identifier	Digital identifier according to a specific scheme that uniquely identifies the organisation. Preferably, provide an identifier from ROR (https://ror.org/search).	0259fwx54	text	53		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	Resource.contributors.affiliations.identifiers	MDS_V3_1	
	Resource.contributors.affiliations.identifiers.scheme	Identifier scheme	Type of the identifier scheme. Which type of identifer is reported?	ROR	text	54		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	Resource.contributors.affiliations.identifiers	MDS_V3_1	
	Resource.idsAlternative	Alternative identifiers	Group of items providing information about identifiers (IDs) assigned to the given [RESOURCE] by another registering systems, e.g. a registry of clinical trials or a data repository. If the [RESOURCE] is registered in other systems (e.g. a registry of clinical trials or a data repository), you can provide corresponding identifier(s) here.		none	55		FALSE	FALSE	TRUE	FALSE	TRUE	FALSE		MDS_V3_1	
	Resource.idsAlternative.scheme	Type of the registry	Type/name of the system where the given [RESOURCE] is already registered.	DRKS	text	56		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	Resource.idsAlternative	MDS_V3_1	
	Resource.idsAlternative.identifier	Identifier	Identifier (ID) assigned to the given [RESOURCE] by another registering system, e.g. by a registry of clinical trials or a data repository. E. g., DRKS00021273, NCT04327505, etc.		text	57		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	Resource.idsAlternative	MDS_V3_1	
	Resource.ids	Related resources	Group of items providing information about identifiers (IDs) of the resources related to the given [RESOURCE], e.g. DOIs of publications, datasets, study documents or links to web pages. If existing, you can specify identifier(s) of any related resources, e.g. DOIs of publications, datasets, study documents, links to web pages, etc.		none	58		FALSE	FALSE	TRUE	FALSE	TRUE	FALSE		MDS_V3_1	
	Resource.ids.identifier	Identifier of the related resource	Identifier (ID) related to, or associated with, the [RESOURCE] being registered. These can be IDs of related publications, datasets, study documents, web pages, etc. a) Publications like journal articles usually have a DOI, e.g. 10.3238/arztebl.2020.0861. b) A link (URL) starting with "http(s)://" to a web page with any additional information can also be provided here.	10.4126/FRL01-006431467	text	59		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	Resource.ids	MDS_V3_1	
	Resource.ids.scheme	Type of the identifier	Type of the identifier of the related resource. Select one value from the list.	DOI	text	60		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	Resource.ids	MDS_V3_1	
	Resource.ids.date	Date of ID assignment	Date when the identifier of the related resource was assigned.		text	61		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	Resource.ids	MDS_V3_1	
	Resource.ids.relationType	Relationship between this [RESOURCE] (A) and the related resource (B)?	Relationship between the [RESOURCE] being registered (A) and the related resource (B). Select one value from the list.	A is part of B	text	62		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	Resource.ids	MDS_V3_1	
	Resource.ids.typeGeneral	Type of the related resource	Type of the related resource, e.g. journal article, dataset, text, etc. Select one value from the list. For example,. a journal article, dataset, text, etc.	Text	text	63		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	Resource.ids	MDS_V3_1	
	Resource.idsNfdi4health	Related (sub-)studies, study documents, etc. registered on this portal	Group of items providing information about related resources registered on this portal. Does the [RESOURCE] have any related resources registered on this portal?		none	64		FALSE	FALSE	TRUE	FALSE	TRUE	FALSE		MDS_V3_1	
	Resource.idsNfdi4health.identifier	Identifier of the related resource	Identifier (ID) of the related resource assigned on this portal.	39	text	65		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	Resource.idsNfdi4health	MDS_V3_1	
	Resource.idsNfdi4health.relationType	Relationship between this [RESOURCE] (A) and the related resource (B)?	Relationship between the [RESOURCE] being registered (A) and the related resource (B).		text	66		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	Resource.idsNfdi4health	MDS_V3_1	
	Resource.provenance	Information about provenance aspects of the data entry	Group of items providing information about provenance aspects of the data entry on the portal.		none	67		FALSE	FALSE	FALSE	FALSE	FALSE	TRUE		MDS_V3_1	
