#metadataBlock	name	dataverseAlias	displayName	blockURI
	MDS_V3_1_UC_5.1		MDS_V3_1_UC_5.1	
#datasetField	name	title	description	watermark	fieldType	displayOrder	displayFormat	advancedSearchField	allowControlledVocabulary	allowmultiples	facetable	displayoncreate	required	parent	metadatablock_id	termURI
	DietAssessment	Diet assessment	Group of items providing information on diet assessment.		none	0		FALSE	FALSE	TRUE	FALSE	TRUE	FALSE		MDS_V3_1_UC_5.1
	DietAssessment.instrument	Dietary assessment instrument used	Which dietary assessment instrument is used in the [RESOURCE]? Select one value from the list.		text	1		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	DietAssessment	MDS_V3_1_UC_5.1	
	DietAssessment.ffqItemsNumber	Number of items in FFQ	How many items were inquired with the FFQ?		int	2		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	DietAssessment	MDS_V3_1_UC_5.1	
	DietAssessment.mode	Mode used to apply the dietary assessment instrument to [RESOURCE] participants	How was the dietary assessment instrument applied to the [RESOURCE] participants? Select all that apply.		text	3		TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	DietAssessment	MDS_V3_1_UC_5.1	
	DietAssessment.device	Device used to apply the dietary assessment instrument to [RESOURCE] participants	Which device was used to apply the dietary assessment instrument to the [RESOURCE] participants? Select all that apply.		text	4		TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	DietAssessment	MDS_V3_1_UC_5.1	
	DietAssessment.portionSizeEstimation	Portion size estimated by:	How is the portion size inquired in the dietary assessment instrument? Select all that apply.		text	5		TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	DietAssessment	MDS_V3_1_UC_5.1	
	DietAssessment.referencePeriodUnit	Reference period unit	Which reference period is the dietary assessment instrument referring to, e.g. 24-h recall is referring to the previous day. Select one value from the list.		text	6		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	DietAssessment	MDS_V3_1_UC_5.1	
	DietAssessment.referencePeriodNumber	Numerical value of reference period units	How many of the reference period units were assessed?		int	7		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	DietAssessment	MDS_V3_1_UC_5.1	
	DietAssessment.repeat	Was this instrument applied repeatedly?	Was the same instrument applied repeatedly?		text	8		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	DietAssessment	MDS_V3_1_UC_5.1	
	DietAssessment.repeatFrequency	Frequency of applying the dietary assessment instrument	How often was the dietary assessment instrument repeatedly applied?		int	9		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	DietAssessment	MDS_V3_1_UC_5.1	
	DietAssessment.validity	Was this instrument validated?	Was the dietary assessment instrument validated?		text	10		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	DietAssessment	MDS_V3_1_UC_5.1	
	DietAssessment.validityReference	Please provide a reference describing the validation.	Reference describing the validation.		text	11		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	DietAssessment	MDS_V3_1_UC_5.1	
	DietAssessment.reliability	Instrument described according to reliablity?	Was the dietary assessment instrument described according to its reliability?		text	12		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	DietAssessment	MDS_V3_1_UC_5.1	
	DietAssessment.reliabilityReference	Please provide a reference describing the reliability measures.	Reference describing the reliability measures.		text	13		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	DietAssessment	MDS_V3_1_UC_5.1	
